,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
0,Gnar,14,MIDDLE,2,9,5,9118,164,12619,False,0,False,False,False,False,0,0,3,2,18.54
1,LeeSin,13,TOP,0,5,5,6964,130,6190,False,0,False,False,False,False,0,0,1,0,11.26
2,Gnar,13,TOP,1,4,2,7115,137,12603,True,0,False,False,False,False,0,0,0,0,21.6
3,Gnar,11,NONE,3,0,7,7289,88,7888,True,0,False,False,False,False,0,0,0,5,23.24
4,Gnar,18,TOP,10,7,10,18992,244,41114,False,1,False,True,False,True,1,1,2,4,34.79
5,Sett,14,TOP,5,7,9,12269,132,15749,True,1,False,False,False,False,0,2,0,5,19.07
6,Chogath,17,TOP,9,10,8,15304,186,31230,False,0,False,False,False,False,0,0,4,0,30.54
7,Jinx,17,BOTTOM,9,9,8,18049,260,32766,False,1,False,False,False,False,0,0,1,3,27.9
8,Ashe,16,BOTTOM,5,8,11,11941,206,22582,False,1,False,False,False,False,0,0,3,0,24.78
9,Jinx,13,BOTTOM,11,4,10,12665,176,21501,True,1,True,False,False,True,1,1,0,5,37.66
10,Tristana,12,NONE,13,2,7,10793,99,26252,True,0,False,False,False,True,0,1,0,8,31.69
11,Lulu,10,BOTTOM,2,11,9,5938,31,5143,False,0,False,False,False,False,0,0,1,0,7.19
12,Soraka,15,BOTTOM,4,6,26,11742,34,10490,True,2,False,False,True,False,0,2,1,3,8.37
13,Nautilus,12,BOTTOM,2,10,4,7212,37,7767,False,0,True,False,False,False,0,0,2,0,8.49
14,Ashe,18,BOTTOM,16,8,9,19804,286,46506,False,0,False,False,False,False,0,0,6,2,37.4
15,Xayah,18,BOTTOM,15,10,10,21584,285,41334,False,2,False,False,False,False,0,0,2,1,33.9
16,LeeSin,16,JUNGLE,3,5,7,12412,51,16356,False,0,False,False,True,False,0,0,2,1,16.09
17,Veigar,18,MIDDLE,12,9,14,17587,222,41848,False,1,True,False,False,False,1,3,1,0,28.47
18,LeeSin,15,JUNGLE,5,9,8,11821,28,16367,False,0,False,False,False,False,0,0,2,1,17.07
19,LeeSin,16,JUNGLE,7,6,12,12535,29,17232,True,1,True,False,False,False,0,1,0,0,18.22
20,Tristana,16,BOTTOM,7,14,4,13954,202,22332,False,0,False,False,False,False,0,0,1,3,16.55
21,Tristana,18,BOTTOM,20,6,11,22575,267,69292,True,1,False,False,False,False,0,1,3,3,41.61
22,Tristana,18,JUNGLE,22,6,8,22030,255,51392,True,0,True,False,True,False,0,1,3,4,34.24
23,Tristana,16,BOTTOM,20,3,9,17450,185,37319,True,0,False,False,True,False,2,2,0,5,39.47
24,Tristana,16,BOTTOM,12,1,9,15166,223,35035,True,1,False,False,True,False,1,1,0,3,39.92
25,Tristana,17,BOTTOM,15,2,8,18010,224,44128,True,2,False,True,False,False,0,1,1,4,38.2
26,Vayne,15,BOTTOM,13,1,5,15500,197,22596,True,1,False,False,False,False,1,2,0,4,28.59
27,Yasuo,16,BOTTOM,9,7,9,15360,239,21024,True,0,False,False,False,False,1,1,0,5,20.29
28,Ezreal,11,BOTTOM,3,10,3,7887,128,16768,False,0,False,False,False,False,0,0,1,1,33.4
29,Kaisa,15,BOTTOM,3,7,9,11877,231,18385,False,0,False,False,False,False,0,0,2,2,21.49
30,Jinx,18,BOTTOM,17,6,12,21239,303,54498,True,1,False,False,False,True,2,4,1,3,39.29
31,Vayne,13,BOTTOM,5,7,4,12045,227,12382,False,0,False,True,False,False,0,0,2,0,24.08
32,Lucian,13,BOTTOM,7,2,3,11622,199,15373,True,0,False,False,True,False,0,0,0,6,27.83
33,Jinx,15,BOTTOM,21,6,12,17580,235,43403,True,1,True,False,False,True,0,1,0,4,46.49
34,Vayne,15,BOTTOM,5,6,3,13418,258,20361,False,0,False,False,False,False,0,0,1,4,27.46
35,Viktor,17,MIDDLE,10,11,17,15345,201,62550,False,1,False,False,False,False,0,1,2,3,40.6
36,Jinx,16,BOTTOM,12,5,12,16218,238,36995,False,0,False,False,True,False,0,1,2,1,33.88
37,Jinx,18,BOTTOM,11,6,10,17774,304,44657,True,0,False,False,False,False,1,1,5,0,30.83
38,Jhin,16,BOTTOM,7,3,16,13187,214,25630,True,1,False,False,False,False,0,2,0,0,23.1
39,Ezreal,15,BOTTOM,9,3,6,13556,219,23684,True,1,False,True,False,False,1,1,0,1,31.88
40,Kaisa,15,BOTTOM,10,4,6,13322,204,19476,True,1,False,True,False,False,1,1,0,1,21.56
41,Trundle,17,JUNGLE,12,3,13,14643,42,28943,True,1,False,False,False,False,0,0,0,0,25.93
42,LeeSin,15,JUNGLE,2,6,15,11222,30,13376,False,0,False,False,True,False,0,0,1,4,15.02
43,Viktor,16,MIDDLE,7,5,8,13215,202,20721,True,1,False,False,False,False,0,0,0,3,31.57
44,Ezreal,15,BOTTOM,6,9,12,14693,210,36559,False,1,True,False,False,True,0,0,2,4,32.24
45,Kennen,14,TOP,5,8,4,10495,157,14418,False,0,True,False,False,False,0,0,2,3,21.7
46,LeeSin,13,JUNGLE,3,11,6,8948,26,11805,False,0,False,False,False,False,0,0,1,0,16.76
47,LeeSin,15,JUNGLE,0,11,13,10755,49,13442,False,0,True,False,False,False,0,0,1,0,12.48
48,Ezreal,13,BOTTOM,6,1,1,11514,214,18753,True,1,False,True,False,False,1,1,0,0,41.83
49,Jinx,14,BOTTOM,3,9,3,11792,223,13375,False,0,False,False,False,True,0,0,2,5,15.36
50,LeeSin,12,JUNGLE,6,6,2,9219,51,7354,False,0,False,True,False,False,0,0,3,0,10.92
51,LeeSin,11,JUNGLE,3,10,2,7058,19,9546,False,0,False,False,False,False,0,0,2,0,19.08
52,LeeSin,13,JUNGLE,7,2,8,9866,22,8631,True,0,False,False,False,True,0,1,0,0,10.56
53,LeeSin,8,NONE,2,3,0,4286,7,3606,False,0,False,False,False,False,0,0,0,0,22.18
54,LeeSin,17,JUNGLE,7,3,13,15112,67,19669,True,0,False,False,False,False,0,2,0,2,17.88
55,LeeSin,14,JUNGLE,4,7,5,10174,39,9188,False,0,False,False,False,False,0,0,1,2,17.87
56,LeeSin,17,JUNGLE,7,3,16,15728,45,21389,True,2,False,False,False,False,1,1,0,0,22.78
57,LeeSin,12,JUNGLE,5,7,2,8621,19,9929,False,0,False,False,False,False,0,0,1,0,20.23
58,LeeSin,14,JUNGLE,8,3,15,11502,26,15223,True,0,False,False,False,True,1,1,0,4,18.47
59,LeeSin,17,JUNGLE,14,8,19,16584,46,28837,True,1,False,False,False,False,0,0,0,0,28.32
60,LeeSin,14,JUNGLE,9,1,14,11086,28,11184,True,0,True,False,False,True,1,2,0,3,15.9
