,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
0,Urgot,17,JUNGLE,18,5,8,20157,206,32626,True,2,False,False,False,True,2,2,0,8,30.15
1,Renekton,18,TOP,5,9,12,17512,264,33194,True,1,False,False,False,True,0,0,0,5,20.85
2,Jayce,15,MIDDLE,4,9,4,11475,191,19166,False,0,False,False,False,False,0,0,3,2,35.65
3,Graves,17,MIDDLE,9,5,6,16002,227,28725,True,1,False,False,False,False,0,1,0,2,39.34
4,Gangplank,17,TOP,4,6,5,14861,236,20854,True,1,False,False,False,False,0,0,0,4,27.93
5,Gangplank,13,NONE,2,2,6,8255,126,10897,True,0,False,False,False,False,1,1,0,1,19.13
6,Jayce,18,JUNGLE,8,6,9,19917,263,34611,True,2,False,False,False,False,0,1,1,6,26.18
7,Jayce,14,MIDDLE,6,3,6,13119,179,24432,True,1,False,False,False,False,0,1,0,3,32.46
8,Camille,15,TOP,14,1,6,13342,166,23191,True,0,False,False,False,True,0,0,0,5,37.42
9,Galio,13,MIDDLE,6,7,7,9327,143,13903,False,0,False,False,False,False,0,0,2,0,30.62
10,Jayce,11,NONE,1,6,0,6531,140,8820,False,0,False,False,False,False,0,0,1,1,29.81
11,Jax,14,JUNGLE,6,6,2,9912,188,21307,False,0,False,False,False,False,0,0,1,1,31.02
12,Jayce,12,NONE,4,3,1,7271,120,9216,True,0,False,False,False,False,0,0,0,4,28.07
13,Camille,13,NONE,5,0,0,9285,170,10817,True,0,False,False,False,False,0,0,0,4,27.39
14,Lucian,13,MIDDLE,3,7,1,8790,179,11947,False,0,False,False,False,False,0,0,1,3,18.74
15,Ryze,18,TOP,10,6,12,16627,237,31099,True,1,False,False,False,False,0,1,1,2,27.01
16,Jayce,15,TOP,10,4,11,13794,172,24315,True,1,True,False,False,False,0,1,0,4,30.0
17,Aatrox,16,MIDDLE,6,7,2,12000,196,20185,False,0,False,False,False,False,0,0,2,0,28.81
18,Gangplank,11,NONE,2,4,0,6688,119,11313,False,0,False,False,False,False,0,0,0,3,28.77
19,Jayce,16,TOP,4,8,7,13332,250,25535,False,0,False,False,True,False,0,0,2,5,25.97
20,Gangplank,17,TOP,4,8,7,14725,257,32661,False,0,False,False,False,False,0,0,1,2,31.45
21,Gangplank,13,NONE,3,1,5,9383,165,14512,True,0,False,False,False,False,0,0,0,3,22.52
22,Jayce,3,NONE,0,0,0,1043,18,755,False,0,False,False,False,False,0,0,0,0,46.26
23,Jayce,18,TOP,6,10,6,15391,259,30789,False,1,False,False,False,False,0,0,2,3,31.72
24,Rumble,14,TOP,5,7,7,9909,155,17416,False,0,False,False,False,False,0,0,1,2,22.64
25,Kaisa,17,BOTTOM,17,2,6,17300,242,33304,True,1,True,False,False,False,1,2,0,3,31.75
26,Jax,12,TOP,0,4,0,6607,152,10344,False,0,False,False,False,False,0,0,1,2,25.1
27,Trundle,12,NONE,3,2,7,8909,138,9418,True,0,False,False,False,True,0,0,0,5,27.18
28,Mordekaiser,16,TOP,6,5,4,12056,197,18979,False,0,False,False,False,False,0,0,1,2,25.86
29,Lucian,14,BOTTOM,8,7,16,13250,180,21182,True,1,False,False,False,False,0,1,0,1,23.1
30,Darius,12,NONE,2,1,1,7775,170,4565,True,0,False,False,False,False,0,1,0,1,9.54
31,Gangplank,18,TOP,5,4,13,18369,287,26270,True,1,False,False,False,True,1,2,0,5,24.78
32,Graves,16,JUNGLE,11,2,11,15875,214,35792,True,1,False,True,False,True,1,1,0,5,34.9
33,Viego,13,JUNGLE,5,10,5,10205,6,16082,False,0,False,False,False,False,0,0,1,0,19.59
34,Jayce,11,NONE,6,0,2,8151,138,10326,True,0,False,False,False,True,0,1,0,5,28.37
35,Renekton,17,TOP,15,3,15,20550,238,39231,True,0,False,False,False,True,0,1,0,7,36.53
36,Jayce,14,TOP,8,6,1,11985,179,16357,False,0,False,False,False,True,0,0,0,5,38.25
37,Yorick,12,NONE,3,1,1,9071,144,6916,True,0,False,False,False,True,1,1,0,5,17.91
38,Graves,12,NONE,3,4,2,6493,122,7220,True,0,False,False,False,False,0,0,0,1,22.37
39,Jayce,17,TOP,12,7,10,14845,215,35204,True,0,True,False,False,False,0,1,0,2,38.43
40,Kaisa,15,BOTTOM,5,5,4,11109,194,10340,True,1,False,False,False,False,0,1,0,1,12.8
41,Graves,13,NONE,5,0,5,10835,180,10751,True,0,False,True,False,False,1,1,0,4,34.44
42,Garen,16,MIDDLE,5,2,2,15563,244,10972,True,1,False,False,False,False,4,4,0,5,21.69
43,Lucian,13,TOP,4,8,8,10277,187,15682,False,0,False,False,False,False,0,0,0,4,24.12
44,Jax,16,TOP,9,4,3,12679,171,23226,True,1,False,False,False,False,1,1,0,3,34.51
45,Graves,18,TOP,7,7,9,16916,265,35990,True,2,False,False,True,False,0,0,0,5,28.05
46,Jax,17,TOP,14,2,10,17958,223,29688,True,1,False,False,True,False,1,1,0,10,36.43
47,Zyra,11,BOTTOM,6,2,9,7920,27,17028,True,0,False,False,True,False,0,0,0,2,29.69
48,Kaisa,14,MIDDLE,7,3,4,10653,162,14340,True,0,False,False,False,False,0,1,0,3,19.86
49,Graves,12,NONE,5,4,5,8173,131,11508,True,0,False,True,False,False,0,0,0,4,27.4
50,Lucian,18,MIDDLE,9,9,5,15975,239,30981,False,1,False,False,False,False,0,0,1,0,23.08
51,Galio,14,MIDDLE,4,2,10,10435,169,9998,True,1,True,False,False,False,0,2,0,5,18.87
52,Lucian,15,TOP,6,5,3,11314,187,19939,True,1,False,False,False,True,0,0,0,2,33.68
53,Rengar,13,TOP,2,8,3,8352,141,7824,False,0,False,False,False,False,0,0,2,1,13.42
54,Ryze,15,TOP,10,3,3,11919,177,18560,True,0,False,False,True,False,0,0,0,2,24.94
55,Lucian,17,MIDDLE,13,8,5,15856,232,27719,True,1,True,False,False,False,0,1,0,1,29.69
56,Gnar,13,TOP,10,13,1,10211,121,16964,False,0,False,False,False,False,0,0,0,0,27.87
57,Jayce,18,TOP,7,7,4,16326,267,27988,False,0,False,False,False,False,0,0,2,3,38.8
58,Jayce,12,NONE,7,0,1,8737,147,10898,True,0,False,True,False,False,0,0,0,4,32.19
59,Jayce,15,TOP,6,6,7,13222,194,24246,True,1,False,False,False,False,1,1,0,3,33.42
60,Graves,14,TOP,6,2,3,10802,196,13349,True,0,False,False,False,False,0,0,0,4,22.72
61,Mordekaiser,13,TOP,5,4,2,9692,158,18219,False,0,False,False,False,True,0,0,0,5,34.07
62,Graves,15,TOP,7,3,5,11308,186,17113,True,0,False,False,False,False,0,0,0,3,27.23
63,Lucian,13,TOP,4,1,2,8633,158,13678,False,0,False,False,False,False,0,0,0,3,27.73
64,Darius,15,MIDDLE,11,4,4,11993,164,25802,True,0,False,True,False,False,0,0,0,1,34.34
65,Gangplank,15,TOP,2,4,4,11566,187,9502,True,1,False,False,False,False,0,1,0,4,18.29
66,Kennen,16,TOP,4,6,6,12258,222,23237,False,0,True,False,False,False,0,0,0,2,33.09
67,Tryndamere,18,MIDDLE,12,10,7,18889,289,32714,False,2,False,True,False,False,0,0,1,1,29.74
68,Graves,18,TOP,3,12,5,13643,237,17852,True,2,False,False,False,False,0,0,0,0,17.56
69,Trundle,13,NONE,5,0,1,9674,179,8088,True,0,False,False,False,False,1,1,0,2,21.32
70,Graves,18,JUNGLE,9,8,13,18690,298,41319,False,1,False,False,False,False,0,0,2,4,36.81
71,Hecarim,16,JUNGLE,7,3,7,14239,53,29722,False,0,False,False,False,False,0,0,1,0,38.01
72,Urgot,11,NONE,4,1,4,6759,103,4180,True,0,False,False,False,False,0,0,0,3,12.22
73,Gragas,15,TOP,3,3,7,9664,169,17191,True,1,False,False,False,False,0,0,0,1,26.52
74,Trundle,15,TOP,2,4,6,9137,174,13377,True,1,False,False,False,False,0,0,0,0,22.86
75,Jhin,10,NONE,4,6,3,7602,140,7877,False,0,False,False,False,False,0,0,1,2,19.53
76,Gragas,13,TOP,2,5,1,7158,153,12486,False,0,False,False,False,False,0,0,2,0,35.52
77,Gragas,13,TOP,1,11,11,8483,152,22218,False,0,False,False,False,False,0,0,2,1,24.24
78,Jayce,14,MIDDLE,1,6,0,9059,198,12807,False,0,False,False,False,False,0,0,2,1,25.46
79,LeeSin,16,JUNGLE,21,1,13,17055,71,36877,True,1,False,False,False,False,0,2,0,0,44.23
80,Sett,16,TOP,10,8,4,15245,194,21945,True,1,False,False,False,True,1,1,0,5,22.52
81,Gnar,16,TOP,4,4,3,11919,205,22223,True,1,False,False,False,False,0,0,0,3,26.34
82,Gnar,14,TOP,3,2,4,11335,180,15536,True,0,False,False,False,False,0,0,0,6,22.71
83,Volibear,16,TOP,5,1,5,13154,207,14524,True,1,False,False,False,False,1,1,0,3,24.98
84,Renekton,16,TOP,8,6,4,15036,216,29453,True,0,False,False,False,False,1,2,0,7,36.58
85,Yone,16,TOP,10,6,8,17040,230,24173,False,0,False,False,False,False,0,0,2,5,30.75
86,Camille,16,NONE,7,6,8,11955,171,16746,True,2,False,False,False,False,0,3,0,0,18.34
87,Shyvana,18,TOP,9,7,9,18606,269,39120,True,2,False,False,False,False,0,1,0,5,33.04
