,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,rank
0,Akali,18,BOTTOM,24,14,26,20214,35,49473,True,0,False,False,False,False,0,1,1,0,28.86,Platinum
1,Draven,15,MIDDLE,16,11,7,18115,207,25894,False,0,True,False,True,False,0,0,3,6,38.05,Platinum
2,Samira,11,BOTTOM,10,8,3,12402,152,20808,False,0,False,False,False,False,0,0,1,2,37.86,Platinum
3,Ezreal,12,BOTTOM,17,2,3,12657,143,19685,True,0,False,False,False,False,0,1,0,3,33.74,Platinum
4,Evelynn,10,NONE,6,0,4,6663,8,4553,True,0,False,False,False,True,0,0,0,2,13.41,Platinum
5,Kalista,18,TOP,9,11,24,17601,95,32527,False,0,False,True,True,False,0,2,1,0,18.03,Platinum
6,Nidalee,18,JUNGLE,26,5,21,19875,37,54603,True,0,True,False,False,False,1,2,0,0,36.49,Platinum
7,LeeSin,18,TOP,26,14,29,22625,47,46527,True,0,True,False,False,False,0,2,1,0,26.37,Platinum
8,Zoe,14,NONE,8,7,7,10603,30,19580,False,0,False,False,False,False,0,0,1,0,39.35,Platinum
9,Xerath,14,BOTTOM,10,3,7,12605,77,32501,False,1,False,False,False,False,0,0,3,0,35.67,Platinum
10,Diana,15,JUNGLE,15,0,4,13225,36,13725,True,1,False,False,False,False,0,1,0,0,24.04,Platinum
11,Jinx,18,TOP,11,10,24,16055,101,40120,True,0,False,False,False,False,2,2,1,0,31.12,Platinum
12,Illaoi,15,NONE,5,11,11,9985,23,16654,False,0,False,False,False,False,0,0,1,0,22.06,Platinum
13,Viego,17,NONE,7,12,14,12904,52,20212,False,0,False,False,False,False,0,0,2,0,21.78,Platinum
14,Maokai,18,TOP,8,9,23,14755,46,35759,True,0,True,False,False,False,0,2,0,0,24.55,Platinum
15,Xerath,13,MIDDLE,4,4,6,9109,143,17449,False,0,False,False,False,False,0,0,1,0,24.4,Platinum
16,Yasuo,18,TOP,12,9,13,17992,234,26318,True,2,False,True,False,False,0,1,1,0,21.01,Platinum
17,Jhin,14,BOTTOM,2,6,5,11548,235,18489,False,0,True,False,False,False,0,0,2,1,20.21,Platinum
18,Teemo,6,NONE,1,1,0,2708,0,962,False,0,False,True,False,False,0,0,0,0,79.05,Platinum
19,Kennen,18,MIDDLE,7,6,3,15853,274,32693,False,0,False,False,False,False,0,0,6,0,26.29,Platinum
20,Ahri,18,MIDDLE,9,8,5,15451,228,22385,False,2,False,False,False,False,0,0,2,5,18.36,Platinum
21,Leblanc,17,TOP,9,3,4,14990,222,24152,False,0,False,False,False,False,0,0,2,0,23.77,Platinum
22,Akshan,17,MIDDLE,8,6,6,15965,238,27325,False,0,False,False,False,False,0,0,2,4,28.5,Platinum
23,Lissandra,18,MIDDLE,14,1,6,16109,254,28840,True,1,False,False,False,False,1,1,0,2,30.5,Platinum
24,Illaoi,18,TOP,5,6,1,15382,319,37491,False,0,False,False,False,False,1,1,1,3,27.78,Platinum
25,Vayne,18,JUNGLE,10,10,13,15869,95,41873,True,1,False,False,False,False,0,1,3,0,25.14,Platinum
