,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
0,Jinx,18,BOTTOM,22,11,14,23041,273,48143,False,1,True,False,False,True,1,2,2,7,31.21
1,Jinx,17,BOTTOM,7,7,14,16020,199,22529,True,1,False,False,False,False,1,1,0,1,19.11
2,Lux,16,BOTTOM,7,4,20,12081,49,26110,True,2,False,False,False,False,0,2,0,1,20.54
3,Velkoz,14,BOTTOM,3,12,6,9618,40,20193,False,0,False,False,False,False,0,0,1,1,21.44
4,Velkoz,14,BOTTOM,9,3,13,11699,61,22620,True,0,False,False,False,False,0,1,0,3,19.49
5,Lux,8,NONE,1,2,6,5287,17,4529,True,0,False,False,False,False,0,0,0,3,14.08
6,Jinx,12,BOTTOM,7,6,4,8701,120,11420,False,0,False,False,False,False,0,0,2,4,20.42
7,Kaisa,14,BOTTOM,3,5,9,10703,169,24601,False,0,True,False,False,True,0,0,1,5,27.05
8,Kaisa,16,BOTTOM,8,5,11,12930,180,23426,True,0,False,False,False,False,0,1,0,0,22.44
9,Ashe,14,BOTTOM,1,7,4,8955,181,6667,False,0,False,False,False,False,0,0,2,1,11.44
10,Jinx,18,BOTTOM,7,6,16,18313,245,23498,True,2,False,True,False,False,2,2,0,2,15.39
11,Jinx,15,BOTTOM,11,3,8,13622,156,20292,True,1,False,False,False,False,0,0,0,4,29.87
12,Twitch,11,BOTTOM,10,3,4,10423,123,14343,True,0,False,True,False,False,0,0,0,1,28.5
13,Twitch,10,NONE,10,3,4,7786,74,12169,True,0,False,False,False,False,0,0,0,2,28.39
14,Caitlyn,15,BOTTOM,6,2,9,13519,189,16784,True,0,False,False,False,True,2,2,0,2,19.46
15,Jinx,13,BOTTOM,11,3,6,12457,157,20210,True,0,False,False,False,False,1,2,0,3,24.2
16,Caitlyn,18,BOTTOM,19,8,14,25324,297,58112,True,3,False,False,False,False,3,4,2,0,24.85
17,Jinx,17,BOTTOM,15,8,11,18933,228,44419,False,1,False,False,False,False,0,0,2,2,37.39
18,Jinx,18,BOTTOM,18,6,9,21542,254,42057,True,1,False,False,False,False,1,3,0,3,27.98
