,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,Date
0,Caitlyn,12,BOTTOM,2,7,6,8236,145,8849,False,0,False,False,False,False,0,0,3,1,14.45,4/14/2022
1,Tristana,12,BOTTOM,4,5,5,9112,133,12473,False,0,False,False,False,False,0,0,2,1,21.49,4/14/2022
2,MissFortune,16,BOTTOM,7,6,4,14044,229,18285,True,1,False,False,False,False,1,1,0,1,18.36,4/14/2022
3,MissFortune,18,BOTTOM,8,13,14,16997,228,25991,False,0,False,False,False,False,0,0,4,1,16.29,4/14/2022
4,Lux,15,BOTTOM,7,3,19,11005,54,24684,True,0,False,False,False,False,0,1,0,2,20.33,4/12/2022
5,Lux,9,NONE,2,2,6,4850,41,7771,False,0,False,False,False,False,0,0,0,0,28.86,4/12/2022
6,Jinx,17,BOTTOM,16,6,3,18366,210,31234,False,1,False,False,False,False,0,0,2,1,26.92,4/12/2022
7,Jinx,17,BOTTOM,9,8,10,16683,222,39810,False,0,True,False,False,False,0,1,1,4,26.57,4/11/2022
8,Tristana,14,BOTTOM,14,6,3,13286,184,21563,False,0,False,False,False,False,0,0,2,1,30.57,4/11/2022
9,Jinx,14,BOTTOM,2,8,12,9309,141,16535,False,0,False,False,False,False,0,0,2,1,20.05,4/11/2022
10,Jinx,15,BOTTOM,13,5,9,14351,176,25986,True,0,False,False,False,False,1,1,0,2,27.37,4/11/2022
11,Jinx,18,BOTTOM,9,7,11,19078,274,32382,False,1,False,False,False,False,0,1,1,0,23.54,4/11/2022
12,Jinx,18,BOTTOM,22,11,14,23041,273,48143,False,1,True,False,False,True,1,2,2,7,31.21,4/11/2022
13,Jinx,17,BOTTOM,7,7,14,16020,199,22529,True,1,False,False,False,False,1,1,0,1,19.11,4/11/2022
14,Lux,16,BOTTOM,7,4,20,12081,49,26110,True,2,False,False,False,False,0,2,0,1,20.54,4/11/2022
15,Velkoz,14,BOTTOM,3,12,6,9618,40,20193,False,0,False,False,False,False,0,0,1,1,21.44,4/11/2022
16,Velkoz,14,BOTTOM,9,3,13,11699,61,22620,True,0,False,False,False,False,0,1,0,3,19.49,4/10/2022
17,Lux,8,NONE,1,2,6,5287,17,4529,True,0,False,False,False,False,0,0,0,3,14.08,4/10/2022
18,Jinx,12,BOTTOM,7,6,4,8701,120,11420,False,0,False,False,False,False,0,0,2,4,20.42,4/10/2022
19,Kaisa,14,BOTTOM,3,5,9,10703,169,24601,False,0,True,False,False,True,0,0,1,5,27.05,4/10/2022
20,Kaisa,16,BOTTOM,8,5,11,12930,180,23426,True,0,False,False,False,False,0,1,0,0,22.44,4/10/2022
21,Ashe,14,BOTTOM,1,7,4,8955,181,6667,False,0,False,False,False,False,0,0,2,1,11.44,4/10/2022
22,Jinx,18,BOTTOM,7,6,16,18313,245,23498,True,2,False,True,False,False,2,2,0,2,15.39,4/10/2022
23,Jinx,15,BOTTOM,11,3,8,13622,156,20292,True,1,False,False,False,False,0,0,0,4,29.87,4/10/2022
24,Twitch,11,BOTTOM,10,3,4,10423,123,14343,True,0,False,True,False,False,0,0,0,1,28.5,4/10/2022
25,Twitch,10,NONE,10,3,4,7786,74,12169,True,0,False,False,False,False,0,0,0,2,28.39,4/10/2022
26,Caitlyn,15,BOTTOM,6,2,9,13519,189,16784,True,0,False,False,False,True,2,2,0,2,19.46,4/10/2022
27,Jinx,13,BOTTOM,11,3,6,12457,157,20210,True,0,False,False,False,False,1,2,0,3,24.2,4/10/2022
28,Caitlyn,18,BOTTOM,19,8,14,25324,297,58112,True,3,False,False,False,False,3,4,2,0,24.85,4/9/2022
29,Jinx,17,BOTTOM,15,8,11,18933,228,44419,False,1,False,False,False,False,0,0,2,2,37.39,4/9/2022
30,Jinx,18,BOTTOM,18,6,9,21542,254,42057,True,1,False,False,False,False,1,3,0,3,27.98,4/9/2022
31,Ashe,16,BOTTOM,12,2,18,14741,172,17317,True,1,False,False,False,False,1,1,0,4,16.25,4/7/2022
32,Lux,14,BOTTOM,3,5,14,10089,39,15841,True,1,False,False,False,False,1,2,0,5,13.15,4/6/2022
33,Jinx,18,BOTTOM,30,12,13,29364,331,74194,False,0,False,False,False,False,0,0,9,4,33.23,4/6/2022
34,Quinn,11,NONE,6,2,4,6833,94,11682,True,0,False,False,False,False,0,0,0,2,34.42,4/6/2022
35,Caitlyn,12,BOTTOM,3,9,5,9444,153,10029,False,0,False,False,False,False,0,0,3,2,17.56,4/5/2022
36,Lux,15,MIDDLE,3,4,9,9219,151,13688,True,1,False,False,False,False,0,0,0,0,12.75,4/5/2022
37,Kaisa,18,BOTTOM,12,6,15,17855,262,61853,True,1,False,False,False,False,0,1,2,2,39.16,4/2/2022
38,Ashe,13,BOTTOM,7,3,12,11654,152,16049,True,0,False,False,False,False,0,0,0,1,20.91,4/2/2022
39,Caitlyn,16,BOTTOM,8,7,10,15144,223,32371,False,0,False,False,True,False,0,0,3,5,27.59,4/2/2022
40,Jinx,16,BOTTOM,6,4,11,14031,185,21885,True,1,True,False,False,False,1,1,0,3,19.98,4/2/2022
41,Jhin,17,BOTTOM,8,6,12,12621,164,27717,False,0,True,False,False,False,0,0,3,0,25.42,3/31/2022
42,Caitlyn,11,BOTTOM,7,13,5,9913,100,13512,False,0,False,True,False,False,0,0,1,2,25.31,3/31/2022
43,Jinx,18,BOTTOM,7,5,10,16701,261,30226,False,0,False,False,False,False,0,0,5,1,18.83,3/31/2022
44,Jhin,16,BOTTOM,9,13,8,13842,137,16787,False,1,False,False,False,False,0,0,3,1,13.59,3/30/2022
45,Ashe,18,BOTTOM,5,11,20,16666,228,27847,False,0,False,False,False,False,0,0,5,1,14.54,3/30/2022
46,Ezreal,18,BOTTOM,10,7,15,17556,203,34169,True,2,False,False,False,False,1,1,2,1,26.97,3/30/2022
47,Jinx,18,BOTTOM,16,1,5,19280,296,36135,True,0,False,False,False,False,0,1,0,1,33.5,3/27/2022
48,Ashe,16,BOTTOM,11,10,17,15779,149,27774,False,0,False,False,False,False,0,0,1,2,24.35,3/26/2022
49,Caitlyn,18,BOTTOM,10,6,15,19680,276,37727,False,2,False,False,False,False,0,0,3,2,28.41,3/26/2022
50,Tristana,18,BOTTOM,18,9,12,21050,222,41868,True,1,False,False,False,False,1,3,0,4,28.2,3/24/2022
51,Zeri,7,NONE,1,1,2,3868,65,1756,True,0,False,False,False,False,0,0,0,3,10.28,3/23/2022
52,Jinx,13,BOTTOM,4,7,10,11189,128,11287,False,0,False,False,False,False,0,0,2,2,14.65,3/23/2022
53,Kaisa,8,NONE,4,3,5,5184,12,6647,True,0,False,False,False,False,0,0,0,2,16.58,3/23/2022
54,Lux,15,BOTTOM,11,4,18,13008,41,26738,True,1,False,False,True,False,0,2,0,2,20.42,3/21/2022
55,Jhin,18,BOTTOM,18,7,13,21159,228,43256,False,1,True,False,False,False,1,1,3,1,31.7,3/21/2022
56,XinZhao,17,JUNGLE,9,9,19,15105,54,23396,True,0,False,False,False,False,0,1,1,2,16.23,3/21/2022
57,Ashe,13,BOTTOM,2,6,10,9053,142,12952,False,0,False,False,False,False,0,0,2,3,19.75,3/21/2022
58,Jinx,14,BOTTOM,3,8,4,10422,172,15301,False,0,False,False,False,False,0,0,2,1,18.2,3/20/2022
59,Jinx,17,BOTTOM,15,10,10,18536,216,35136,False,0,False,False,False,False,0,0,5,0,43.43,3/20/2022
60,Kaisa,16,BOTTOM,10,4,11,14584,221,26916,True,0,False,False,False,False,0,1,0,1,25.92,3/20/2022
61,Ashe,16,BOTTOM,11,6,13,15181,163,20198,False,0,False,False,False,False,0,0,3,1,20.85,3/20/2022
62,Quinn,14,TOP,1,5,4,8138,169,9641,False,0,False,False,False,False,0,0,2,0,17.99,3/19/2022
63,Lux,14,BOTTOM,9,10,11,12257,50,23036,False,0,False,False,False,False,0,0,3,2,21.6,3/19/2022
64,Blitzcrank,11,BOTTOM,4,10,6,7007,27,7516,False,0,False,False,False,False,0,0,1,0,13.91,3/19/2022
65,Lucian,11,BOTTOM,1,3,1,6597,143,5108,False,0,False,False,False,False,0,0,3,0,13.77,3/19/2022
66,Ashe,14,BOTTOM,7,1,13,12827,176,20146,True,0,False,False,False,False,0,1,1,3,22.51,3/19/2022
67,Jinx,11,BOTTOM,2,0,10,8015,145,8193,True,0,False,False,False,False,0,1,0,4,16.24,3/18/2022
68,Teemo,14,TOP,3,8,5,9225,151,17184,False,0,False,False,False,False,0,0,1,2,29.28,3/18/2022
69,XinZhao,16,JUNGLE,6,8,12,12511,28,16755,True,1,False,False,False,True,1,1,0,2,13.49,3/18/2022
70,Lux,8,NONE,1,2,3,4169,20,4681,False,0,False,False,False,False,0,0,0,4,21.82,3/18/2022
71,Caitlyn,18,BOTTOM,8,7,7,15845,215,26841,True,1,False,False,False,False,0,1,1,2,18.79,3/17/2022
72,Kaisa,18,BOTTOM,8,8,9,15782,237,28293,False,0,True,False,False,False,0,0,3,2,20.91,3/14/2022
