,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
0,Senna,10,BOTTOM,0,3,1,5422,36,4554,False,0,False,False,False,False,0,0,3,1,13.3
1,Blitzcrank,11,BOTTOM,5,3,14,8011,33,6052,True,1,False,True,False,True,0,0,0,2,10.65
2,Soraka,13,BOTTOM,0,2,17,8051,16,5369,True,1,False,False,False,False,0,1,0,2,5.64
3,Senna,14,BOTTOM,3,7,7,11059,59,16006,False,1,False,False,False,False,0,0,1,1,18.17
4,Senna,16,BOTTOM,8,7,18,14373,50,20361,True,2,False,False,False,False,2,4,0,2,14.2
5,Senna,10,BOTTOM,5,0,5,8799,23,11213,True,0,False,False,False,True,1,2,0,9,23.58
6,Senna,14,BOTTOM,3,10,12,10935,75,19233,False,1,False,False,False,False,0,0,1,2,20.38
7,Senna,13,BOTTOM,3,1,12,9305,35,11607,True,1,False,False,False,False,0,0,0,4,17.79
8,Soraka,15,BOTTOM,2,8,25,10371,30,10513,False,1,False,False,False,False,0,2,2,1,7.52
9,Soraka,16,BOTTOM,1,4,25,10492,15,6099,True,2,False,False,False,False,1,3,0,3,5.18
10,Soraka,11,BOTTOM,0,3,6,5546,20,2814,False,0,False,False,False,False,0,0,1,0,7.23
11,Soraka,2,NONE,0,0,0,773,4,191,False,0,False,False,False,False,0,0,0,0,10.79
12,Senna,13,BOTTOM,2,3,13,9676,36,12178,True,0,False,False,True,False,0,0,0,4,16.0
13,Soraka,12,BOTTOM,1,4,25,7988,16,6974,True,1,False,False,False,False,0,0,0,3,10.7
14,Soraka,11,BOTTOM,5,6,13,8669,35,8412,False,0,False,False,False,False,0,0,1,2,12.11
15,Soraka,13,BOTTOM,2,6,20,8323,8,6318,True,1,False,False,False,False,0,1,0,2,8.38
16,TahmKench,12,BOTTOM,1,0,10,9294,158,5920,True,0,False,False,True,False,0,0,0,5,9.61
17,Soraka,14,MIDDLE,1,5,24,9189,23,7844,True,1,False,False,False,False,0,1,0,0,7.75
18,Soraka,13,BOTTOM,0,3,20,8036,22,5644,True,0,True,False,True,False,0,0,0,2,6.99
19,Yuumi,10,BOTTOM,1,3,3,4372,2,3203,False,0,False,False,False,False,0,0,1,0,8.11
20,Soraka,10,BOTTOM,2,5,5,5191,18,4502,False,0,False,False,False,False,0,0,1,0,11.25
21,Soraka,14,BOTTOM,0,5,25,8467,20,6274,True,0,False,False,False,False,0,0,0,3,5.66
22,Soraka,9,NONE,0,3,11,5075,6,3072,True,0,False,False,False,False,0,0,0,2,6.93
23,Soraka,11,BOTTOM,0,4,15,6894,16,4276,False,0,False,False,False,False,0,0,2,4,7.54
24,Yuumi,7,NONE,0,2,0,2859,0,2347,False,0,False,False,False,False,0,0,0,0,11.93
25,Soraka,15,BOTTOM,2,6,21,10248,31,11190,True,1,False,False,False,False,0,1,0,1,10.3
26,Soraka,14,BOTTOM,2,4,20,8995,14,3965,True,1,False,False,False,True,0,1,0,3,4.84
27,Soraka,11,BOTTOM,0,3,3,5247,15,4298,False,0,False,False,False,False,0,0,2,0,10.53
28,Lulu,12,BOTTOM,0,7,9,6890,19,4442,False,0,True,False,False,False,0,0,2,2,6.51
29,Soraka,10,NONE,0,1,8,5177,13,2372,True,0,False,False,False,False,0,0,0,1,5.99
30,Corki,14,MIDDLE,3,4,2,9499,165,11229,True,1,False,False,False,False,0,1,0,1,20.48
31,Renata,13,BOTTOM,0,2,4,6598,40,4613,False,0,False,False,False,False,0,0,1,2,8.23
32,Senna,16,JUNGLE,8,4,21,14476,41,30956,True,0,True,False,False,False,0,1,0,4,30.57
33,Soraka,15,BOTTOM,2,7,26,9685,22,6937,True,0,False,False,False,False,1,2,0,0,5.71
34,Soraka,13,BOTTOM,1,6,16,7772,15,5332,False,1,False,False,False,False,0,0,1,0,5.95
35,Soraka,15,BOTTOM,0,3,15,8391,18,6020,True,2,False,False,False,False,0,2,0,2,5.89
36,Soraka,13,BOTTOM,1,4,12,5609,13,4295,False,0,False,False,False,False,0,0,4,0,9.31
37,Soraka,16,BOTTOM,0,9,25,9973,23,5566,False,2,True,False,False,False,0,1,1,4,4.8
38,Lulu,12,BOTTOM,0,4,11,7340,22,3090,True,0,False,False,False,False,1,3,0,1,3.95
39,Soraka,12,BOTTOM,1,3,14,7346,10,4532,True,0,False,False,False,False,0,1,0,3,5.76
40,Soraka,16,BOTTOM,0,10,34,10951,13,9623,True,1,False,False,True,False,1,3,0,3,7.42
41,Sona,10,BOTTOM,1,6,6,5051,2,5213,False,0,False,False,False,False,0,0,1,0,11.45
42,Soraka,10,NONE,1,2,10,6617,8,4040,True,0,False,False,True,False,0,0,0,5,7.51
43,Swain,11,BOTTOM,5,1,9,8755,41,7944,True,0,False,False,True,False,0,1,0,7,13.3
44,Brand,16,JUNGLE,9,9,8,14406,75,24032,False,1,False,False,True,False,0,0,3,5,27.25
45,Soraka,13,BOTTOM,1,2,19,7605,9,3974,True,1,False,False,True,False,1,1,0,1,6.83
46,Yuumi,14,BOTTOM,0,9,20,8214,2,12027,False,1,False,False,False,False,0,0,1,1,11.26
47,Akshan,17,MIDDLE,8,5,2,16997,247,13010,False,0,False,False,False,False,0,0,4,4,18.19
48,Soraka,13,BOTTOM,1,5,25,7804,10,6132,True,1,False,False,False,False,0,1,0,1,6.55
49,Soraka,12,BOTTOM,0,6,5,5470,14,3996,False,0,False,False,False,False,0,0,2,1,6.25
50,Taric,11,BOTTOM,1,8,3,6492,44,3919,False,0,False,False,False,False,0,0,1,5,6.0
51,Soraka,16,MIDDLE,0,3,21,8652,15,5219,True,0,False,False,False,False,0,1,3,3,5.29
52,Soraka,2,NONE,0,0,0,804,0,308,False,0,False,False,False,False,0,0,0,0,12.69
53,Soraka,10,NONE,1,2,15,6068,6,3453,True,0,False,False,False,False,0,0,0,0,6.32
54,Soraka,13,BOTTOM,0,8,13,7828,29,4854,False,0,False,False,False,False,0,0,1,1,4.97
55,Soraka,15,BOTTOM,1,4,18,9395,37,3516,True,1,False,False,False,False,0,1,0,0,5.15
56,Soraka,11,BOTTOM,0,4,14,7058,14,3046,True,1,False,False,False,False,0,2,0,4,4.95
57,Zyra,16,BOTTOM,7,10,17,13172,81,23829,False,0,False,False,False,False,0,0,3,4,24.53
58,Soraka,14,BOTTOM,2,12,17,10179,13,6845,True,0,False,False,False,False,0,0,0,4,6.85
59,Senna,14,BOTTOM,6,8,16,11265,44,24642,False,0,False,False,False,False,0,0,1,1,25.56
60,Soraka,13,BOTTOM,0,7,24,8731,19,4906,True,1,False,False,False,False,0,1,0,2,4.74
61,Akshan,16,MIDDLE,10,7,4,13811,166,18462,False,0,False,False,False,False,0,0,2,2,21.9
62,Zilean,14,BOTTOM,1,6,13,8856,52,11500,False,0,False,False,False,False,0,0,3,0,14.37
63,Taric,12,BOTTOM,1,6,16,7800,45,5300,True,0,False,False,False,False,0,1,1,1,7.06
64,Lulu,13,BOTTOM,2,6,13,7764,20,4516,False,0,False,False,False,False,0,0,1,0,5.49
65,Soraka,14,TOP,2,3,20,9043,13,6597,True,1,False,False,False,False,0,1,0,2,7.12
66,Sona,15,BOTTOM,2,5,16,9684,28,10870,True,0,False,False,True,False,0,1,1,4,9.32
67,Senna,12,BOTTOM,7,4,3,9129,43,13263,False,0,False,False,False,False,0,0,1,0,28.11
68,Soraka,13,BOTTOM,3,5,17,8767,29,6406,True,0,False,False,False,False,1,1,0,1,7.68
69,Soraka,16,BOTTOM,4,9,24,10469,32,6482,False,0,False,False,False,False,0,0,1,0,5.2
70,MissFortune,13,BOTTOM,3,4,7,7994,69,15307,False,0,False,False,False,False,0,0,2,0,19.79
71,Soraka,11,BOTTOM,0,2,13,6891,10,4727,False,1,False,False,False,False,0,0,2,5,9.53
72,Soraka,10,BOTTOM,2,1,9,6161,9,3351,True,0,False,False,False,False,0,1,0,4,5.27
73,Soraka,10,BOTTOM,0,3,2,4701,24,3236,False,0,False,False,False,False,0,0,3,0,9.84
74,Soraka,11,TOP,0,3,10,6617,12,3941,True,1,False,False,False,False,0,1,0,4,7.56
75,Soraka,14,BOTTOM,2,8,24,10081,22,5947,False,0,False,False,False,False,0,2,1,3,5.1
76,Soraka,11,BOTTOM,1,2,11,6595,11,4967,True,0,False,False,True,False,0,0,0,3,8.96
77,Soraka,9,NONE,1,1,8,4581,11,2189,True,0,False,False,False,False,0,0,0,2,6.5
78,Soraka,10,BOTTOM,0,6,4,4364,6,2213,False,0,False,False,False,False,0,0,2,0,6.02
79,Soraka,16,MIDDLE,3,6,23,11129,34,9318,True,2,False,False,False,False,0,1,0,1,6.43
80,Soraka,12,BOTTOM,3,3,14,8005,19,4185,True,1,False,False,False,False,0,2,0,3,5.44
81,Soraka,13,MIDDLE,1,4,7,8898,157,8964,False,0,True,False,False,False,0,0,2,1,10.98
82,Soraka,15,BOTTOM,0,8,9,7934,19,6514,False,0,False,False,False,False,0,0,3,1,6.78
83,Soraka,12,BOTTOM,2,0,11,7481,8,3000,True,1,True,False,True,False,1,2,0,5,5.53
84,Senna,18,BOTTOM,14,7,21,20969,70,47936,True,3,True,False,False,False,1,1,1,3,31.38
85,Soraka,10,BOTTOM,4,2,3,6500,17,3250,False,0,False,False,False,False,0,0,2,4,11.72
