,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,Date
0,Yuumi,12,BOTTOM,3,6,18,7905,3,6894,False,0,False,False,False,False,0,1,1,0,9.93,4/16/2022
1,Sona,11,BOTTOM,0,0,12,6578,11,3894,True,0,False,False,True,False,0,2,0,5,6.45,4/16/2022
2,Sona,12,BOTTOM,1,1,19,7466,8,3431,True,1,True,False,True,False,0,1,0,3,5.97,4/16/2022
3,Taliyah,11,BOTTOM,3,5,2,7028,54,6099,False,0,False,False,False,False,0,0,2,0,14.2,4/16/2022
4,Sona,16,BOTTOM,0,9,28,10420,38,12005,True,1,False,False,True,False,0,1,0,5,8.14,4/16/2022
5,Sona,12,BOTTOM,1,4,16,7207,15,4166,True,1,False,False,False,False,0,2,0,1,7.24,4/16/2022
6,Sona,11,BOTTOM,0,6,12,5791,8,6599,False,0,False,False,False,False,0,0,2,0,9.37,4/16/2022
7,Nami,11,BOTTOM,1,7,8,6707,14,7619,False,0,False,False,True,False,0,0,0,0,12.12,4/15/2022
8,Soraka,12,BOTTOM,1,7,12,7500,18,4906,False,0,False,False,True,False,0,0,1,5,7.35,4/15/2022
9,Akshan,16,MIDDLE,8,4,3,14541,194,24526,False,0,False,False,False,False,0,0,1,2,25.7,4/15/2022
10,Soraka,16,BOTTOM,2,11,23,9690,21,6999,False,0,False,False,False,False,0,0,3,0,6.05,4/15/2022
11,Sona,11,BOTTOM,2,2,10,6670,19,5060,True,0,False,False,False,False,0,1,0,3,7.33,4/15/2022
12,Sona,14,BOTTOM,0,4,18,8178,29,6486,True,1,False,False,False,False,1,2,0,4,8.05,4/15/2022
13,Karthus,16,MIDDLE,9,8,6,14458,188,37973,False,0,False,False,False,False,0,0,1,1,36.08,4/15/2022
14,Sona,14,BOTTOM,3,7,9,8689,25,5717,False,0,False,False,False,False,0,0,1,2,7.84,4/15/2022
15,Sona,12,BOTTOM,1,3,15,7929,16,6643,True,1,False,False,False,True,0,2,0,5,11.3,4/15/2022
16,Sona,11,BOTTOM,2,3,18,7177,15,6439,True,0,False,False,False,False,0,1,0,3,11.72,4/15/2022
17,Sona,12,BOTTOM,3,8,15,7858,15,7631,False,0,False,False,False,False,0,0,2,1,9.46,4/15/2022
18,Taric,14,BOTTOM,3,12,12,8982,76,8119,False,0,False,False,False,False,0,0,2,0,6.9,4/15/2022
19,Senna,13,BOTTOM,6,10,12,9854,43,20173,False,0,False,False,False,False,0,0,1,1,21.79,4/15/2022
20,Rakan,10,BOTTOM,2,1,5,5397,43,4167,False,0,False,False,False,False,0,0,1,0,10.37,4/15/2022
21,Swain,14,BOTTOM,4,7,12,11553,50,35426,False,0,True,False,True,False,0,0,1,4,24.97,4/15/2022
22,Senna,15,BOTTOM,9,5,11,12502,52,17989,True,1,False,False,False,False,0,0,0,4,21.57,4/15/2022
23,Soraka,16,BOTTOM,0,6,21,9383,33,7015,True,2,False,False,False,False,0,1,0,2,5.62,4/15/2022
