,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
0,Lux,15,TOP,4,1,13,13219,210,16688,True,1,False,False,False,False,1,1,0,2,28.15
1,Jinx,18,BOTTOM,9,8,12,20905,356,30442,False,1,False,False,False,False,0,0,7,1,18.23
2,Caitlyn,14,BOTTOM,6,4,8,12258,167,18655,True,1,False,False,False,True,0,1,0,5,21.53
3,Draven,18,BOTTOM,10,12,15,16423,161,25041,True,2,False,False,False,False,1,2,0,2,17.46
4,Varus,15,BOTTOM,4,4,7,12203,208,13068,True,1,False,False,False,False,1,1,0,0,19.2
5,Xayah,16,BOTTOM,3,4,9,12718,224,22571,True,1,False,False,False,False,0,1,0,0,19.68
6,KogMaw,15,BOTTOM,2,9,8,11413,205,26490,False,0,False,False,False,False,0,0,1,3,23.5
7,Lux,13,NONE,3,2,1,9318,185,13876,False,0,False,False,False,False,0,0,2,3,39.42
8,Lux,12,NONE,6,1,5,9161,141,15645,True,0,False,True,False,False,0,0,0,1,33.49
9,Renata,11,BOTTOM,0,3,3,4957,10,7873,False,0,False,False,False,False,0,0,1,0,16.88
10,Renata,13,BOTTOM,2,1,15,8591,29,7881,True,1,False,False,False,False,0,1,0,1,8.52
11,Janna,10,BOTTOM,1,9,8,6236,11,2549,False,0,False,False,False,False,0,0,2,1,3.6
12,Lux,11,NONE,9,1,6,9801,118,12071,True,0,False,False,False,False,0,1,0,5,25.1
13,Janna,12,BOTTOM,1,2,8,6665,10,4627,False,0,False,False,False,False,0,0,2,0,6.05
14,Lux,11,MIDDLE,2,5,2,7317,126,9315,False,0,False,False,False,False,0,0,1,1,21.96
15,Lux,17,MIDDLE,8,8,9,16146,209,26933,False,1,False,False,False,False,0,0,1,0,20.46
16,Varus,12,BOTTOM,5,6,6,9530,158,20668,False,0,False,False,False,False,0,0,3,0,33.33
17,Lux,15,BOTTOM,3,7,27,12382,33,31512,True,1,False,False,False,False,0,1,1,2,25.16
18,Draven,14,BOTTOM,9,2,5,12655,151,25628,True,0,False,False,False,False,2,2,0,2,31.76
19,Kaisa,14,MIDDLE,4,2,7,10987,186,16213,True,1,False,False,False,False,0,1,0,3,21.34
20,KogMaw,16,BOTTOM,8,7,7,14134,215,37796,True,1,False,False,False,False,2,2,0,1,27.17
21,Ezreal,14,BOTTOM,1,5,9,11182,220,16024,True,0,False,False,False,False,0,0,0,2,12.79
22,Kalista,17,BOTTOM,4,6,7,14269,267,11286,True,1,False,False,False,False,1,1,1,0,11.92
23,Ashe,11,NONE,3,2,4,7604,137,10226,True,0,False,False,False,False,0,0,0,1,21.37
24,Lux,13,MIDDLE,7,1,6,10435,152,14960,True,0,False,False,False,False,0,0,0,1,23.98
25,Lux,15,BOTTOM,9,1,9,13722,189,23416,True,1,False,False,False,False,1,2,0,4,30.41
26,Lux,17,MIDDLE,15,5,14,16301,180,33633,True,1,False,False,False,False,0,1,0,4,33.72
27,Lux,14,BOTTOM,3,5,13,10816,171,13829,True,1,False,False,False,False,1,1,0,3,15.51
28,Ziggs,14,BOTTOM,1,1,5,10180,225,11105,False,0,False,False,False,True,0,0,0,1,23.71
29,Ziggs,15,BOTTOM,9,3,8,13498,214,22789,False,0,False,False,False,False,0,0,3,1,32.55
30,Lux,14,MIDDLE,11,1,5,12102,180,17623,True,0,False,False,False,False,0,0,0,0,29.78
31,Lux,14,MIDDLE,2,6,8,10224,177,15454,False,0,False,False,False,False,0,0,1,0,21.89
32,Lux,14,MIDDLE,6,3,7,12132,184,23501,False,0,False,False,False,False,0,0,0,4,32.03
