,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,Date
0,Renata,9,BOTTOM,1,5,8,5949,4,4386,False,0,False,True,False,False,0,0,1,1,7.71,4/16/2022
1,Janna,13,BOTTOM,2,1,14,8010,13,5155,False,0,False,False,False,False,0,0,5,1,8.34,4/15/2022
2,Renata,10,BOTTOM,2,2,6,5374,13,4555,False,0,False,False,False,False,0,0,1,1,11.48,4/15/2022
3,FiddleSticks,18,TOP,7,6,17,13581,187,32915,True,1,False,False,False,False,0,0,3,2,15.61,4/14/2022
4,Ziggs,11,NONE,5,5,3,6919,104,10998,False,0,False,False,False,True,0,0,0,5,37.68,4/14/2022
5,Camille,18,TOP,9,8,7,17153,258,49483,True,2,False,False,False,False,1,1,1,3,33.44,4/14/2022
6,Ashe,13,BOTTOM,2,8,4,10437,201,21371,False,0,False,False,False,False,0,0,0,2,38.5,4/14/2022
7,Sejuani,15,JUNGLE,7,7,12,12499,28,17675,True,1,False,False,False,False,1,2,0,0,18.5,4/14/2022
8,Ziggs,1,NONE,0,0,0,562,0,0,False,0,False,False,False,False,0,0,0,0,0.0,4/13/2022
9,Lux,16,MIDDLE,2,4,8,13003,243,28477,False,1,False,False,False,False,0,0,1,1,27.52,4/13/2022
10,Lulu,13,BOTTOM,1,1,20,9387,6,3485,True,1,True,False,True,False,1,2,0,13,5.37,4/13/2022
11,Seraphine,11,BOTTOM,0,2,5,6203,35,4417,False,0,False,False,False,False,0,0,0,0,9.27,4/13/2022
12,Janna,11,BOTTOM,2,4,10,6381,10,4117,False,0,False,False,False,False,0,0,2,0,6.33,4/13/2022
13,Talon,15,MIDDLE,11,9,8,13494,165,27563,True,1,False,False,False,False,0,0,4,0,24.8,4/13/2022
14,DrMundo,8,NONE,3,4,1,5131,92,7051,True,0,False,False,False,False,0,0,0,0,20.58,4/13/2022
15,Yasuo,11,BOTTOM,4,6,2,8745,126,9601,True,0,False,False,False,False,0,0,0,3,19.22,4/13/2022
16,Darius,16,BOTTOM,10,9,6,15404,212,13991,True,0,False,True,False,False,2,2,0,4,12.92,4/13/2022
17,Ashe,11,NONE,4,4,7,8045,139,9246,True,0,False,False,False,True,0,0,0,5,23.69,4/12/2022
18,Ashe,17,BOTTOM,12,9,18,17200,222,31956,True,2,False,False,True,False,1,3,0,5,22.04,4/12/2022
19,Ziggs,16,MIDDLE,2,3,1,12983,273,18062,False,1,False,False,False,False,0,0,1,5,25.52,4/12/2022
