,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
0,Jinx,14,BOTTOM,7,10,3,11686,124,17509,False,0,False,False,False,False,0,0,3,1,22.46
1,Samira,18,BOTTOM,26,7,10,27574,323,77636,False,1,False,True,False,False,0,0,4,0,47.93
2,Samira,15,BOTTOM,11,12,10,13538,144,23721,False,0,False,False,False,False,0,1,1,1,25.73
3,Samira,14,BOTTOM,10,7,1,13062,217,22912,False,0,False,True,False,False,1,1,1,1,26.88
4,Yuumi,8,BOTTOM,0,4,2,4350,2,2886,False,0,False,False,False,False,0,0,0,1,10.35
5,Samira,10,NONE,3,5,1,6718,98,6515,False,0,False,False,False,False,0,0,2,2,24.96
6,Samira,10,BOTTOM,2,1,0,7813,170,5396,False,0,False,False,False,False,0,0,0,0,12.15
7,Jinx,10,BOTTOM,3,6,3,6422,79,8663,False,0,False,False,False,False,0,0,3,0,20.63
8,Nidalee,10,JUNGLE,1,6,3,6054,4,5856,False,0,False,False,False,False,0,0,1,0,11.69
9,Nidalee,18,JUNGLE,11,10,12,15642,38,32587,False,1,False,False,False,False,0,0,6,0,24.68
10,Nidalee,18,JUNGLE,7,7,3,17162,44,17506,False,2,False,False,False,False,0,0,5,2,10.89
11,Jinx,7,NONE,0,2,1,3487,40,2350,False,0,False,False,False,False,0,0,0,1,13.25
12,Azir,11,NONE,2,1,1,5338,79,3372,True,0,False,False,False,False,0,0,0,1,7.03
13,Nami,10,BOTTOM,0,0,9,5945,10,4874,True,0,False,False,False,False,0,1,0,0,8.39
14,Soraka,14,BOTTOM,2,4,9,8042,29,5541,True,1,False,False,False,False,0,1,0,0,6.52
15,Jinx,14,BOTTOM,4,9,6,10535,112,12438,True,1,False,False,False,False,1,1,0,0,12.21
16,Soraka,16,BOTTOM,3,7,22,9446,29,8200,True,0,False,False,False,False,0,1,1,1,7.15
17,Yuumi,13,BOTTOM,1,0,20,6945,7,4050,True,0,False,False,False,False,0,0,0,1,5.46
18,Kayle,15,TOP,3,7,4,10493,90,5590,True,2,False,False,False,False,0,0,2,0,4.36
19,Hecarim,13,JUNGLE,1,3,3,8007,26,4561,False,0,False,False,False,False,0,0,3,0,5.2
