,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,Date
0,Samira,16,BOTTOM,7,6,4,12511,141,19667,True,1,False,False,False,False,0,0,0,0,12.31,4/16/2022
1,Leblanc,16,BOTTOM,8,6,9,12413,100,25147,True,1,False,False,False,False,0,2,0,3,19.83,4/16/2022
2,Janna,14,BOTTOM,2,6,13,7201,8,5553,False,0,False,False,False,False,0,0,5,0,7.57,4/15/2022
3,Lulu,9,NONE,0,0,5,3500,2,1663,False,0,False,False,False,False,0,0,0,0,9.07,4/15/2022
4,LeeSin,18,JUNGLE,4,6,8,13424,70,17307,False,0,False,False,False,False,0,0,1,0,17.11,4/15/2022
5,Samira,12,BOTTOM,0,8,4,7749,134,5535,False,0,False,False,False,False,0,0,0,1,8.13,4/15/2022
6,Katarina,13,MIDDLE,3,7,1,8146,106,10635,False,0,False,False,False,False,0,0,0,1,15.67,4/14/2022
7,Janna,16,BOTTOM,1,8,9,11315,29,5326,True,2,False,False,True,False,0,1,4,5,3.92,4/14/2022
8,Twitch,6,NONE,0,0,1,3683,47,704,False,0,False,False,False,False,0,0,0,0,4.15,4/14/2022
9,LeeSin,15,JUNGLE,5,6,1,11606,74,10752,False,0,False,False,False,False,0,0,3,0,12.35,4/14/2022
10,Ashe,10,BOTTOM,2,6,5,5547,74,5280,False,0,False,False,False,False,0,0,2,0,12.84,4/14/2022
11,Caitlyn,18,BOTTOM,18,6,14,24096,348,33575,False,0,False,True,False,False,0,0,5,0,18.54,4/14/2022
12,Samira,14,BOTTOM,5,3,7,10642,152,17279,True,1,False,False,False,False,1,1,0,2,26.36,4/14/2022
13,Samira,18,BOTTOM,12,12,8,17423,215,30181,False,1,False,False,False,False,0,0,4,2,27.22,4/13/2022
14,LeeSin,11,JUNGLE,0,7,1,5690,27,5662,False,0,False,False,False,False,0,0,2,0,20.12,4/13/2022
15,Samira,7,NONE,0,3,1,3486,51,1667,True,0,False,False,False,False,0,0,0,1,6.95,4/13/2022
16,Samira,11,BOTTOM,4,4,3,7569,117,9064,False,0,False,False,False,False,0,0,0,0,21.17,4/13/2022
