,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
0,Kayle,17,TOP,3,6,9,14337,225,19016,True,0,False,False,False,True,0,1,0,2,25.52
1,Graves,16,TOP,8,7,9,14699,198,23553,False,0,False,False,False,True,0,0,2,5,21.2
2,Jayce,11,NONE,3,2,1,5912,97,6350,True,0,False,False,False,False,0,0,0,1,21.45
3,Kayle,14,TOP,5,4,5,10086,153,9010,True,0,False,False,False,False,0,0,0,3,14.55
4,Qiyana,18,MIDDLE,16,13,8,17665,184,42708,False,0,False,False,False,False,0,0,2,0,35.17
5,Kennen,17,TOP,6,8,14,13721,190,30589,False,1,False,False,False,False,0,0,1,3,25.31
6,Akali,17,TOP,6,8,4,12097,191,25569,True,1,False,False,False,False,0,0,0,0,21.32
7,Jayce,16,TOP,9,7,9,15132,211,25335,True,0,True,False,False,False,0,2,0,1,24.88
8,Jayce,18,TOP,9,6,8,20631,283,36038,False,1,False,False,False,True,0,0,3,4,32.42
9,Graves,16,MIDDLE,5,8,12,13124,178,22475,True,0,False,False,False,False,0,0,0,3,22.41
10,Graves,16,MIDDLE,12,3,4,15290,205,26048,True,1,False,True,False,True,0,1,0,5,30.93
11,Jayce,14,MIDDLE,2,5,6,10262,169,7800,True,1,False,False,False,False,0,1,0,3,12.52
12,Graves,13,MIDDLE,3,11,2,8987,141,13262,False,0,False,False,False,False,0,0,3,2,24.55
13,Graves,16,TOP,8,10,10,12411,155,28773,True,1,False,False,False,False,0,1,0,3,26.35
14,Kennen,15,TOP,4,5,10,10618,161,15153,True,1,False,False,False,False,0,0,0,1,14.69
15,Graves,12,TOP,3,3,0,9067,152,8714,False,0,False,True,False,False,0,0,1,0,19.63
16,Akali,16,TOP,5,10,6,12738,203,18731,False,0,False,False,False,False,0,0,1,1,22.47
17,Graves,18,JUNGLE,12,3,6,17498,236,26539,True,1,False,False,True,False,1,1,1,5,31.25
18,Irelia,13,TOP,0,9,1,8188,175,10166,False,0,False,False,False,False,0,0,1,0,19.92
19,Kennen,15,TOP,1,4,1,12001,230,13875,False,0,False,False,True,False,0,0,1,5,26.2
20,Kennen,16,TOP,10,3,4,12293,167,19041,True,1,False,False,False,False,0,0,0,0,20.2
21,Jayce,15,TOP,1,7,2,11307,182,13545,False,0,False,False,True,False,0,0,2,2,15.18
22,Jayce,3,NONE,0,0,0,981,15,926,True,0,False,False,False,False,0,0,0,0,59.7
23,Xayah,10,NONE,0,5,4,5977,116,8283,False,0,False,False,False,False,0,0,2,3,24.4
24,Jayce,16,TOP,4,5,1,14137,246,14680,False,0,False,False,False,False,0,0,1,3,16.08
25,Jayce,18,JUNGLE,14,4,8,22399,300,51508,True,2,False,False,False,False,0,1,4,2,29.32
26,Jayce,12,TOP,3,9,0,8398,114,9155,False,0,False,False,False,False,0,0,0,0,15.34
27,Rengar,18,JUNGLE,11,10,1,16963,227,30776,True,1,False,False,False,False,1,1,0,4,21.32
28,Irelia,17,MIDDLE,3,9,4,15688,272,20751,False,0,False,False,False,False,0,0,1,1,27.71
29,Jayce,14,TOP,4,9,5,9531,168,16233,False,0,False,False,False,False,0,0,1,1,27.81
30,Jayce,18,TOP,12,9,11,16194,205,33280,True,1,False,False,False,False,0,0,1,5,30.28
31,Jayce,15,TOP,9,5,4,12001,142,18521,True,1,False,False,False,False,0,0,0,1,22.92
32,Jayce,16,TOP,13,3,8,15497,195,31326,True,0,False,False,False,True,0,1,0,4,38.62
33,Jayce,17,TOP,1,13,5,14033,203,32531,False,1,False,False,False,False,1,2,1,3,23.83
34,Jayce,15,TOP,9,2,8,14381,184,23573,True,1,False,True,True,False,0,1,0,8,29.7
35,Jayce,14,TOP,5,10,5,11206,162,20711,False,0,False,False,False,False,0,0,5,0,21.04
36,Gwen,13,TOP,3,9,1,8406,144,18441,False,0,False,False,False,False,0,0,2,0,23.81
37,Irelia,17,MIDDLE,7,7,4,16588,256,20053,False,1,False,False,False,False,0,1,1,3,19.1
38,Jayce,14,JUNGLE,7,4,7,10286,131,16253,True,0,False,False,False,False,0,0,0,1,24.14
39,Jayce,17,TOP,6,9,6,13259,196,21308,False,1,False,False,False,False,0,0,2,2,24.86
40,Jayce,14,TOP,11,6,1,11593,143,18467,True,0,False,False,False,False,0,0,0,5,32.35
41,Akali,10,TOP,2,11,4,6437,78,8496,True,0,False,False,False,False,0,0,0,3,17.46
42,Aatrox,16,MIDDLE,10,10,6,14996,179,30771,False,0,False,False,False,False,0,0,1,1,19.61
43,Jayce,15,TOP,7,5,7,13148,185,13913,True,1,False,False,False,False,0,2,0,3,22.4
44,Jayce,12,TOP,2,6,0,7138,152,13732,False,0,False,False,False,False,0,0,0,0,27.65
45,Jayce,16,TOP,8,5,6,12517,161,27152,True,1,False,False,False,False,0,0,0,4,32.29
46,Irelia,13,MIDDLE,5,4,1,8717,165,12450,False,0,False,False,False,False,0,0,2,0,32.38
47,Kayle,15,TOP,2,4,2,10105,218,10141,False,0,False,False,False,False,0,0,2,5,27.16
48,Jayce,14,TOP,3,5,8,9279,165,19442,False,0,False,False,False,False,0,0,1,3,33.74
49,Kennen,16,TOP,5,4,10,13551,193,18130,True,1,True,False,False,False,0,0,0,3,17.52
50,Jayce,16,TOP,9,7,3,14671,190,25226,False,0,False,False,True,False,0,0,1,5,24.06
51,Irelia,12,TOP,2,7,3,6879,138,14909,False,0,False,False,False,False,0,0,1,0,29.57
52,Jayce,18,TOP,5,14,7,17072,259,43647,True,0,False,False,False,False,1,2,1,1,23.35
53,Jayce,16,MIDDLE,16,5,3,17430,174,27714,True,1,False,False,False,True,1,1,0,4,30.76
54,Irelia,16,TOP,5,9,2,12714,219,16785,False,0,False,False,False,False,0,0,1,2,17.31
55,Jayce,16,TOP,3,4,4,11589,191,17172,True,1,False,False,False,False,0,0,0,1,24.77
56,Kayle,12,TOP,0,10,1,6149,114,8032,False,0,False,False,False,False,0,0,0,0,20.84
57,Singed,17,TOP,4,9,12,13378,167,22157,True,1,False,False,False,False,0,0,0,2,25.11
58,Zeri,15,TOP,2,7,5,11976,205,8166,True,1,False,True,False,False,0,0,0,0,12.31
59,Jayce,15,MIDDLE,15,7,9,13635,129,21991,True,1,False,False,False,False,1,1,0,0,24.91
60,Irelia,10,NONE,1,6,0,5256,97,3551,False,0,False,False,False,False,0,0,0,2,16.88
61,Akali,16,TOP,12,5,5,11752,161,17840,True,0,False,False,False,False,0,1,1,3,22.93
62,Jayce,16,TOP,8,8,11,13709,173,23587,True,1,False,False,False,False,1,2,0,3,29.64
63,Kennen,13,TOP,4,4,5,9726,140,15093,True,0,False,False,False,False,0,0,0,3,21.08
64,Kayle,12,NONE,0,5,1,6022,138,4168,False,0,False,False,False,False,0,0,2,0,16.77
65,Akali,16,TOP,8,11,12,13247,160,23734,True,2,True,False,False,False,0,0,0,0,20.32
66,Rengar,15,JUNGLE,6,6,3,12747,179,15665,False,0,False,False,False,False,0,0,2,3,28.64
67,Irelia,16,MIDDLE,4,6,6,12434,218,15568,True,1,False,False,False,False,1,2,0,0,16.9
68,Irelia,18,MIDDLE,5,6,3,16351,278,14961,True,1,False,False,False,False,0,1,1,2,18.61
69,Kayle,18,TOP,11,5,1,17999,275,31877,False,0,True,False,False,False,0,0,2,3,35.31
70,Irelia,13,TOP,4,10,4,10039,170,15215,False,0,False,True,False,False,0,0,1,0,19.33
71,Irelia,13,MIDDLE,5,7,2,9331,154,12550,False,0,True,False,False,False,0,0,1,0,19.47
72,Kennen,11,NONE,2,7,1,5897,115,7926,False,0,False,False,False,False,0,0,1,0,26.69
73,Rengar,11,NONE,4,2,3,7716,107,8701,True,0,False,True,False,False,0,0,0,5,20.04
74,Akali,17,MIDDLE,8,3,10,12250,176,23560,True,1,False,False,False,False,0,0,0,0,30.66
