,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,Date
0,Jayce,14,TOP,0,8,2,10132,188,14213,False,0,False,False,False,True,0,0,1,5,20.2,4/15/2022
1,Jayce,16,TOP,7,3,8,13301,189,18628,True,0,False,False,False,False,0,0,0,4,23.05,4/14/2022
2,Irelia,18,TOP,6,9,4,16348,279,21189,True,2,False,False,False,False,0,1,0,0,15.39,4/14/2022
3,Graves,14,TOP,5,8,0,10168,155,14539,False,0,False,False,False,False,0,0,1,0,21.68,4/14/2022
4,Lucian,14,NONE,10,4,5,11299,152,14779,True,0,False,False,False,True,0,1,0,5,22.78,4/14/2022
5,Irelia,17,MIDDLE,7,7,3,14790,256,19404,False,0,False,True,False,False,0,0,3,2,24.92,4/14/2022
6,Graves,14,MIDDLE,5,5,1,11420,164,15498,False,0,False,False,False,False,0,0,1,1,29.89,4/14/2022
7,Varus,14,TOP,2,6,2,10197,205,9158,False,0,False,False,False,False,0,0,3,4,21.02,4/13/2022
8,Jayce,15,TOP,4,5,0,9541,198,13453,False,0,False,False,False,False,0,0,1,0,27.91,4/13/2022
9,Kennen,16,TOP,6,7,9,13059,184,26781,False,1,False,False,False,False,0,0,1,2,32.51,4/12/2022
10,Akali,14,TOP,8,6,7,9850,119,19790,False,0,False,False,False,False,0,0,1,3,21.46,4/12/2022
11,Karma,15,TOP,5,3,7,11141,166,17019,True,1,False,False,False,False,0,1,0,5,25.17,4/12/2022
12,Kayle,17,TOP,11,4,11,18587,265,25368,True,0,False,True,False,False,1,2,0,5,23.4,4/12/2022
13,Jayce,17,TOP,11,4,6,13695,182,31781,True,1,False,False,False,False,0,0,0,4,32.82,4/12/2022
14,Akali,14,MIDDLE,9,8,5,11260,125,21115,False,1,False,True,False,True,0,0,1,2,24.36,4/12/2022
15,Kayle,16,TOP,4,6,2,11786,198,17792,False,0,False,False,False,False,0,0,1,3,19.64,4/12/2022
16,Irelia,14,MIDDLE,4,5,1,11354,186,8224,False,1,False,False,False,False,0,0,1,1,17.05,4/12/2022
17,Irelia,11,NONE,2,3,2,6412,116,8065,False,0,False,False,False,False,0,0,0,5,30.44,4/12/2022
18,Irelia,18,JUNGLE,11,9,11,19466,301,34000,True,1,False,False,False,False,1,1,2,2,23.9,4/12/2022
19,Kayn,17,MIDDLE,5,6,1,12766,230,12963,False,0,False,False,False,False,0,0,1,1,20.34,4/11/2022
20,Graves,17,MIDDLE,1,6,2,12865,282,20934,False,0,False,False,False,False,0,0,3,2,40.75,4/11/2022
21,Akali,13,TOP,5,11,4,9915,139,15311,False,0,False,False,False,False,0,0,2,2,24.78,4/11/2022
22,Graves,15,MIDDLE,2,5,5,10266,166,19791,True,1,False,False,False,False,0,0,0,1,21.36,4/11/2022
23,Jayce,14,MIDDLE,0,6,2,9555,182,11097,False,0,False,False,False,False,0,0,2,3,18.78,4/11/2022
24,Kayle,16,TOP,12,6,3,15636,191,27823,False,1,False,False,False,False,0,0,1,2,33.64,4/11/2022
25,Rengar,11,JUNGLE,6,4,4,7721,20,7578,False,0,False,False,False,False,0,0,0,0,14.81,4/11/2022
26,Jayce,14,TOP,5,6,0,9957,163,12869,True,1,False,True,False,False,0,0,0,1,24.92,4/11/2022
27,Kayle,17,TOP,3,6,9,14337,225,19016,True,0,False,False,False,True,0,1,0,2,25.52,4/11/2022
28,Graves,16,TOP,8,7,9,14699,198,23553,False,0,False,False,False,True,0,0,2,5,21.2,4/11/2022
29,Jayce,11,NONE,3,2,1,5912,97,6350,True,0,False,False,False,False,0,0,0,1,21.45,4/11/2022
30,Kayle,14,TOP,5,4,5,10086,153,9010,True,0,False,False,False,False,0,0,0,3,14.55,4/11/2022
31,Qiyana,18,MIDDLE,16,13,8,17665,184,42708,False,0,False,False,False,False,0,0,2,0,35.17,4/11/2022
32,Kennen,17,TOP,6,8,14,13721,190,30589,False,1,False,False,False,False,0,0,1,3,25.31,4/11/2022
33,Akali,17,TOP,6,8,4,12097,191,25569,True,1,False,False,False,False,0,0,0,0,21.32,4/11/2022
34,Jayce,16,TOP,9,7,9,15132,211,25335,True,0,True,False,False,False,0,2,0,1,24.88,4/11/2022
35,Jayce,18,TOP,9,6,8,20631,283,36038,False,1,False,False,False,True,0,0,3,4,32.42,4/10/2022
36,Graves,16,MIDDLE,5,8,12,13124,178,22475,True,0,False,False,False,False,0,0,0,3,22.41,4/10/2022
37,Graves,16,MIDDLE,12,3,4,15290,205,26048,True,1,False,True,False,True,0,1,0,5,30.93,4/10/2022
38,Jayce,14,MIDDLE,2,5,6,10262,169,7800,True,1,False,False,False,False,0,1,0,3,12.52,4/10/2022
39,Graves,13,MIDDLE,3,11,2,8987,141,13262,False,0,False,False,False,False,0,0,3,2,24.55,4/10/2022
40,Graves,16,TOP,8,10,10,12411,155,28773,True,1,False,False,False,False,0,1,0,3,26.35,4/10/2022
